name,category,ingredient_number,ingredient,amount
Gauguin,Cocktail Classics,1,Light Rum,2
Gauguin,Cocktail Classics,2,Passion Fruit Syrup,1
Gauguin,Cocktail Classics,3,Lemon Juice,1
Gauguin,Cocktail Classics,4,Lime Juice,1
Fort Lauderdale,Cocktail Classics,1,Light Rum,1.5
Fort Lauderdale,Cocktail Classics,2,Sweet Vermouth,0.5
Fort Lauderdale,Cocktail Classics,3,Juice of Orange,0.25
Fort Lauderdale,Cocktail Classics,4,Juice of a Lime,0.25
Apple Pie,Cordials and Liqueurs,1,Apple schnapps,3
Apple Pie,Cordials and Liqueurs,2,Cinnamon schnapps,1
Cuban Cocktail No. 1,Cocktail Classics,1,Juice of a Lime,0.5
Cuban Cocktail No. 1,Cocktail Classics,2,Powdered Sugar,0.5
Cuban Cocktail No. 1,Cocktail Classics,3,Light Rum,2
Cool Carlos,Cocktail Classics,1,Dark rum,1.5
Cool Carlos,Cocktail Classics,2,Cranberry Juice,2
Cool Carlos,Cocktail Classics,3,Pineapple Juice,2
Cool Carlos,Cocktail Classics,4,Orange curacao,1
Cool Carlos,Cocktail Classics,5,Sour Mix,1
John Collins,Whiskies,1,Bourbon whiskey,2
John Collins,Whiskies,2,Fresh lemon juice,1
John Collins,Whiskies,3,Simple Syrup,0.5
John Collins,Whiskies,4,Soda water,1
John Collins,Whiskies,5,"Orange and lemon wheels, maraschino cherry",1
Cherry Rum,Cocktail Classics,1,Light Rum,1.25
Cherry Rum,Cocktail Classics,2,cherry-flavored brandy,1.5
Cherry Rum,Cocktail Classics,3,Light cream,1
Casa Blanca,Cocktail Classics,1,Light Rum,2
Casa Blanca,Cocktail Classics,2,Lime Juice,1.5
Casa Blanca,Cocktail Classics,3,Triple Sec,1.5
Casa Blanca,Cocktail Classics,4,Maraschino,1.5
Caribbean Champagne,Cocktail Classics,1,Light Rum,0.5
Caribbean Champagne,Cocktail Classics,2,Creme de banana,0.5
Amber Amour,Cordials and Liqueurs,1,Amaretto,1.5
Amber Amour,Cordials and Liqueurs,2,Fresh lemon juice,0.25
Amber Amour,Cordials and Liqueurs,3,Simple Syrup,0.25
The Joe Lewis,Whiskies,1,Scotch Whiskey,1.5
The Joe Lewis,Whiskies,2,Fresh carrot juice,1
The Joe Lewis,Whiskies,3,Tawny port,0.75
The Joe Lewis,Whiskies,4,Fresh lemon juice,0.5
The Joe Lewis,Whiskies,5,Agave nectar,1
Bacardi Cocktail,Cocktail Classics,1,Bacardi Rum,1.5
Bacardi Cocktail,Cocktail Classics,2,Juice of a Lime,0.5
Bacardi Cocktail,Cocktail Classics,3,Grenadine,0.5
Apple Pie No. 1,Cocktail Classics,1,Light Rum,0.75
Apple Pie No. 1,Cocktail Classics,2,Sweet Vermouth,0.75
Apple Pie No. 1,Cocktail Classics,3,Apple Brandy,1
Apple Pie No. 1,Cocktail Classics,4,Grenadine,0.5
Apple Pie No. 1,Cocktail Classics,5,Lemon Juice,1
Yolanda,Cocktail Classics,1,Brandy,0.5
Yolanda,Cocktail Classics,2,Gin,0.5
Yolanda,Cocktail Classics,3,Anisette,0.5
Yolanda,Cocktail Classics,4,Sweet Vermouth,1
Yolanda,Cocktail Classics,5,Grenadine,1
Yellow Rattler,Cocktail Classics,1,Gin,1
Yellow Rattler,Cocktail Classics,2,Orange Juice,1
Yellow Rattler,Cocktail Classics,3,Dry Vermouth,0.5
Yellow Rattler,Cocktail Classics,4,Sweet Vermouth,0.5
Why Not?,Cocktail Classics,1,Gin,1
Why Not?,Cocktail Classics,2,Apricot Flavored Brandy,1
Why Not?,Cocktail Classics,3,Dry Vermouth,0.5
Why Not?,Cocktail Classics,4,Lemon Juice,1
Amaretto Stinger,Cordials and Liqueurs,1,Amaretto,1.5
Amaretto Stinger,Cordials and Liqueurs,2,White creme de menthe,0.75
What The Hell,Cocktail Classics,1,Gin,1
What The Hell,Cocktail Classics,2,Dry Vermouth,1
What The Hell,Cocktail Classics,3,Apricot Flavored Brandy,1
What The Hell,Cocktail Classics,4,Lemon Juice,1
Webster Cocktail,Cocktail Classics,1,Juice of a Lime,0.5
Webster Cocktail,Cocktail Classics,2,Apricot Flavored Brandy,1.5
Webster Cocktail,Cocktail Classics,3,Dry Vermouth,0.5
Webster Cocktail,Cocktail Classics,4,Gin,1
Union Jack Cocktail,Cocktail Classics,1,Sloe gin,0.75
Union Jack Cocktail,Cocktail Classics,2,Gin,1.5
Union Jack Cocktail,Cocktail Classics,3,Grenadine,0.5
Jocose Julep,Whiskies,1,Bourbon whiskey,2.5
Jocose Julep,Whiskies,2,Green creme de menthe,0.5
Jocose Julep,Whiskies,3,Fresh Lime Juice,1
Jocose Julep,Whiskies,4,Simple Syrup,0.5
Jocose Julep,Whiskies,5,Fresh mint leaves,5
Trinity Cocktail,Cocktail Classics,1,Sweet Vermouth,0.75
Trinity Cocktail,Cocktail Classics,2,Dry Vermouth,0.75
Trinity Cocktail,Cocktail Classics,3,Gin,0.75
Three Stripes Cocktail,Cocktail Classics,1,Gin,1
Three Stripes Cocktail,Cocktail Classics,2,Dry Vermouth,0.5
Three Stripes Cocktail,Cocktail Classics,3,Orange Juice,1
Tanq-A-Rita,Cocktail Classics,1,Tanqueray gin,1.5
Tanq-A-Rita,Cocktail Classics,2,Margarita Mix,3
Tanq-A-Rita,Cocktail Classics,3,Triple Sec,1
Amaretto Sour,Cordials and Liqueurs,1,Amaretto,1.5
Amaretto Sour,Cordials and Liqueurs,2,Fresh lemon juice,0.75
Amaretto Sour,Cordials and Liqueurs,3,Simple Syrup,0.5
Amaretto Sour,Cordials and Liqueurs,4,Orange half-wheel,NA
Tailspin Cocktail,Cocktail Classics,1,Gin,0.75
Tailspin Cocktail,Cocktail Classics,2,Sweet Vermouth,0.75
Tailspin Cocktail,Cocktail Classics,3,Green Chartreuse,0.75
