name,category,ingredients
1626,Whiskies,"Bourbon whiskey, Gingerbread liqueur, cherry-flavored brandy, Angostura Bitters, Italian preserved cherry"
19th Century,Whiskies,"Bourbon whiskey, Fresh lemon juice, White creme de cacao, Lillet Rouge"
A. J.,Cocktail Classics,"Applejack, Grapefruit Juice"
Absinthe Cocktail,Cocktail Classics,"Absinthe Substitute, Water, Old Mr. Boston Anisette, Orange Bitters"
Absinthe Drip Cocktail,Cocktail Classics,"Anis, Sugar"
Absinthe Special Cocktail,Cordials and Liqueurs,"Absinthe, Simple Syrup, Orange Bitters"
Academic Review,Whiskies,"Irish Whiskey, Applejack, Amaro Nonino, Rye Whiskey, Demerara Syrup, Mole bitters 1 oz"
Acapulco,Cocktail Classics,"Light Rum, Lime Juice, Triple Sec, Sugar, Egg White"
Adam and Eve,Cocktail Classics,"Forbidden Fruit, Gin, Brandy, Lemon Juice"
Adderly Cocktail,Whiskies,"Straight rye whiskey, Maraschino liqueur, Orange Bitters, Fresh lemon juice"
Admiral Perry,Vodka,"Pear-flavored vodka, Cinnamon schnapps, Dry Vermouth, White creme de cacao"
Affinity Cocktail,Whiskies,"Straight rye whiskey, Maraschino liqueur, Fresh lemon juice, Orange Bitters"
Affinity Cocktail (whisky),Whiskies,"Blended Scotch Whiskey, Dry Vermouth, Sweet Vermouth, Orange Bitters"
After Dinner Cocktail,Cocktail Classics,"Apricot Flavored Brandy, Triple Sec, Juice of a Lime"
After Supper Cocktail,Cocktail Classics,"Apricot-Flavored Brandy, Triple Sec, Lemon Juice"
Akogare,Whiskies,"Straight rye whiskey, Ginger syrup, Cold brewed black tea, preferably Japanese, Fresh lemon juice"
Alamo Splash,Tequila,"Blanco tequila, Orange juice, Pineapple Juice, Lemon-lime soda"
Alexander Cocktail No. 1,Cocktail Classics,"Gin, Creme de Cacao (White), Light cream"
Alexander Cocktail No. 2,Cocktail Classics,"Creme de Cacao (White), Brandy, Light cream"
Alexander's Sister Cocktail,Cocktail Classics,"Dry gin, Green creme de menthe, Light cream"
Alfie Cocktail,Vodka,"lemon-flavored vodka, Pineapple Juice, Triple Sec"
Algonquin,Whiskies,"Straight rye whiskey, Dry Vermouth, Pineapple Juice"
Allegheny,Whiskies,"Bourbon whiskey, Dry Vermouth, Blackberry-flavored brandy, Fresh lemon juice"
Allies Cocktail,Cocktail Classics,"Dry Vermouth, Gin, Kummel"
Almeria,Cocktail Classics,"17-year-old J. Wray and Nephew Ltd. Rum, Coffee-flavored liqueur, Egg White"
Amante Picante,Tequila,"Cucumber, Fresh cilantro sprigs, Blanco tequila, Fresh Lime Juice, Simple Syrup, Jalapeno hot pepper sauce, cucumber slice"
Amaretto And Cream,Cordials and Liqueurs,"Amaretto, half-and-half"
Amaretto Rose,Cordials and Liqueurs,"Amaretto, Fresh lemon juice, Simple Syrup"
Amaretto Sour,Cordials and Liqueurs,"Amaretto, Fresh lemon juice, Simple Syrup, Orange half-wheel"
Amaretto Stinger,Cordials and Liqueurs,"Amaretto, White creme de menthe"
Amber Amour,Cordials and Liqueurs,"Amaretto, Fresh lemon juice, Simple Syrup"
Ambrosia,Cocktail Classics,"Applejack, Brandy, Triple Sec"
American Trilogy,Whiskies,"Brown sugar cube, such as Demerara, Straight rye whiskey, Applejack"
Americana,Whiskies,"Tennessee whiskey, Simple Syrup, Angostura Bitters"
Angel's Share,Whiskies,"Bourbon whiskey, Amaro, Creme de Cassis, Orange Bitters"
Ante,Cocktail Classics,"Apple Brandy, Triple Sec, Dubonnet"
Antoine Special,Cocktail Classics,"Dubonnet, Dry Vermouth"
Apple Blow Fizz,Cocktail Classics,"Egg White, Juice of a Lemon, Powdered Sugar, Apple Brandy"
Apple Pie,Cordials and Liqueurs,"Apple schnapps, Cinnamon schnapps"
Apple Pie Cocktail,Cocktail Classics,"Old Mr. Boston Rum, Sweet Vermouth, Apple Flavored Brandy, Grenadine, Lemon Juice"
Apple Pie No. 1,Cocktail Classics,"Light Rum, Sweet Vermouth, Apple Brandy, Grenadine, Lemon Juice"
Apple Rum Rickey,Cocktail Classics,"Applejack, Light Rum, Lime"
Applecar,Cocktail Classics,"Applejack, Triple Sec, Lemon Juice"
Applejack Punch,Cocktail Classics,"Applejack, Grenadine, Orange Juice, Whole Egg"
Apricot Anise Collins,Cocktail Classics,"Gin, Apricot-Flavored Brandy, Anisette, Lemon Juice"
Apricot Anisette Collins,Cocktail Classics,"Gin, Apricot Flavored Brandy, Anisette, Lemon Juice"
Apricot Cocktail,Cocktail Classics,"Juice of a Lemon, Juice of Orange, Apricot Flavored Brandy, Gin"
Apricot Lady,Cocktail Classics,"Light Rum, Apricot-Flavored Brandy, Triple Sec, Lime Juice, Egg White"
Aquarius,Whiskies,"Blended Scotch Whiskey, cherry-flavored brandy, Cranberry Juice"
Aqueduct,Vodka,"Vodka, Fresh Lime Juice, White curacao or triple sec, Apricot-Flavored Brandy"
Aunt Jemima,Cocktail Classics,"Brandy, White creme de cacao, Benedictine"
Autumn Leaves,Whiskies,"Straight rye whiskey, Apple Brandy, Sweet Vermouth, Strega, Angostura Bitters"
Aztec's Mark,Whiskies,"Bourbon whiskey, White creme de cacao, Benedictine, Hot red pepper sauce"
Bacardi Cocktail,Cocktail Classics,"Bacardi Rum, Juice of a Lime, Grenadine"
Bachelor's Bait Cocktail,Cocktail Classics,"Gin, Egg White, Orange Bitters, Grenadine"
Back Porch Swizzle,Whiskies,"Bourbon whiskey, Dry Vermouth, Pineapple Juice, Ginger beer"
Baltimore Bracer,Cocktail Classics,"Anisette, Brandy, Egg White"
Baltimore Bracer Cocktail,Cocktail Classics,"Old Mr. Boston Anisette, Old Mr. Boston Five Star Brandy, Egg White"
Barbary Coast Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Old Mr. Boston Rum, Old Mr. Boston Creme de Cacao, Desmond & Duff Scotch Whisky, Sweet Cream"
Barnaby's Buffalo Blizzard,Cocktail Classics,"White creme de cacao, Vodka, Galliano, Grenadine"
Barton Special,Cocktail Classics,"Applejack, Scotch, Gin"
Basil 8,Vodka,"Fresh basil leaves, White grapes, Vodka, Fresh Lime Juice, each Simple Syrup, angostura bitters"
